seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
64,136350,40587,100907,-8.274535122461476,-4.524952273771108,1970-01-01 00:02:16.350
65,136380,40571,100890,-24.733778039601145,-21.46879045923158,1970-01-01 00:02:16.380
66,136400,40580,100879,-17.431755257077075,-31.33413026867707,1970-01-01 00:02:16.400
67,136420,40582,100862,-14.226052877427817,-47.45522976748728,1970-01-01 00:02:16.420
68,136443,40579,100842,-17.448145308516857,-67.98187048964827,1970-01-01 00:02:16.443
69,136460,40581,100852,-14.993812705027992,-58.061098681694745,1970-01-01 00:02:16.460
70,136479,40578,100895,-17.69085235205923,-15.371765806073125,1970-01-01 00:02:16.479
71,136495,40514,100862,-81.8582102025153,-48.05371305047055,1970-01-01 00:02:16.495
72,136517,40562,100842,-35.29731303072194,-66.49079080219974,1970-01-01 00:02:16.517
73,136537,40568,100861,-27.909167588985653,-47.31234510823555,1970-01-01 00:02:16.537
74,136559,40565,100859,-29.700775632323367,-49.21159601122342,1970-01-01 00:02:16.559
75,136570,40568,100850,-26.685358814846403,-58.30121233519132,1970-01-01 00:02:16.570
76,136602,40563,100840,-30.505883137294152,-67.85645604128764,1970-01-01 00:02:16.602
77,136620,40571,100845,-23.139600290079223,-62.27813864801245,1970-01-01 00:02:16.620
78,136631,40554,100840,-40.592316070904,-66.92940097529988,1970-01-01 00:02:16.631
79,136659,40557,100850,-37.28276368113136,-57.14860141471094,1970-01-01 00:02:16.659
80,136679,40559,100845,-36.21437353995676,-61.29692506571517,1970-01-01 00:02:16.679
81,136700,40527,100836,-67.8664081678476,-70.11629656109933,1970-01-01 00:02:16.700
82,136720,40570,100820,-24.056234563032767,-86.3242893563124,1970-01-01 00:02:16.720
83,136730,40559,100801,-34.83502012283286,-104.86763890999548,1970-01-01 00:02:16.730
84,136753,40573,100865,-20.42324663445507,-40.060394225623256,1970-01-01 00:02:16.753
85,136768,40568,100841,-26.16016077265536,-63.57556844518392,1970-01-01 00:02:16.768
86,136795,40569,100839,-25.10315757754438,-65.6990951877858,1970-01-01 00:02:16.795
87,136817,40558,100848,-34.80173423084012,-56.44734887194135,1970-01-01 00:02:16.817
88,136837,40559,100850,-34.01932308708319,-53.874474490457885,1970-01-01 00:02:16.837
89,136857,40577,100851,-15.690924603863294,-52.56243648852124,1970-01-01 00:02:16.857
90,136877,40560,100863,-32.36698073990683,-40.65752430687391,1970-01-01 00:02:16.877
91,136895,40579,100870,-13.820509895074544,-32.911637478228535,1970-01-01 00:02:16.895
92,136906,40572,100859,-20.68307858220788,-43.81869559282456,1970-01-01 00:02:16.906
