Column,Dominant Frequency,Dominant Period,Seasonal Strength,Trend Strength
red,0.006735821096591674,148.46,1.9136148363476962e-06,0.9981819809201866
ir,0.006735821096591674,148.46,3.884890931089915e-07,0.9993057233944793
red_corrected,0.013471642193183348,74.23,1.5985207186162114e-05,0.9849382382759546
ir_corrected,0.020207463289775022,49.48666666666667,3.426548721388041e-06,0.9942602564952499
