Timestamp,Signal,Value
1970-01-01 00:04:18.945,red,40187.0
1970-01-01 00:04:19.575,red,40193.0
1970-01-01 00:04:19.724,red,40206.0
1970-01-01 00:04:19.782,red,40202.0
1970-01-01 00:04:19.850,red,40206.0
1970-01-01 00:04:19.867,red,40192.0
1970-01-01 00:04:19.872,red,40201.0
1970-01-01 00:04:19.892,red,40205.0
1970-01-01 00:04:19.934,red,40174.0
1970-01-01 00:04:19.954,red,40201.0
1970-01-01 00:04:19.970,red,40189.0
1970-01-01 00:04:19.986,red,40152.0
1970-01-01 00:04:20.002,red,40190.0
1970-01-01 00:04:20.018,red,40190.0
1970-01-01 00:04:20.038,red,40168.0
1970-01-01 00:04:20.058,red,40179.0
1970-01-01 00:04:20.078,red,40187.0
1970-01-01 00:04:20.110,red,40174.0
1970-01-01 00:04:20.126,red,40187.0
1970-01-01 00:04:20.142,red,40198.0
1970-01-01 00:04:20.160,red,40177.0
1970-01-01 00:04:20.173,red,40185.0
1970-01-01 00:04:20.193,red,40155.0
1970-01-01 00:04:20.213,red,40182.0
1970-01-01 00:04:20.233,red,40183.0
1970-01-01 00:04:20.264,red,40180.0
1970-01-01 00:04:20.280,red,40175.0
1970-01-01 00:04:20.311,red,40183.0
1970-01-01 00:04:20.327,red,40176.0
1970-01-01 00:04:20.349,red,40174.0
1970-01-01 00:04:20.370,red,40181.0
1970-01-01 00:04:20.390,red,40174.0
1970-01-01 00:04:20.415,red,40175.0
1970-01-01 00:04:20.435,red,40181.0
1970-01-01 00:04:20.451,red,40182.0
1970-01-01 00:04:20.467,red,40160.0
1970-01-01 00:04:20.489,red,40182.0
1970-01-01 00:04:20.505,red,40175.0
1970-01-01 00:04:20.525,red,40197.0
1970-01-01 00:04:20.547,red,40190.0
1970-01-01 00:04:20.567,red,40191.0
1970-01-01 00:04:20.583,red,40204.0
1970-01-01 00:04:20.601,red,40200.0
1970-01-01 00:04:20.622,red,40207.0
1970-01-01 00:04:20.655,red,40183.0
1970-01-01 00:04:20.669,red,40187.0
1970-01-01 00:04:20.689,red,40187.0
1970-01-01 00:04:20.709,red,40176.0
1970-01-01 00:04:20.726,red,40187.0
1970-01-01 00:04:20.745,red,40185.0
1970-01-01 00:04:20.764,red,40174.0
1970-01-01 00:04:20.781,red,40173.0
1970-01-01 00:04:20.811,red,40199.0
1970-01-01 00:04:20.811,red,40199.0
1970-01-01 00:04:20.831,red,40189.0
1970-01-01 00:04:20.831,red,40189.0
1970-01-01 00:04:20.875,red,40201.0
1970-01-01 00:04:20.907,red,40188.0
1970-01-01 00:04:21.345,red,40206.0
1970-01-01 00:04:21.380,red,40203.0
1970-01-01 00:04:21.400,red,40197.0
1970-01-01 00:04:21.424,red,40206.0
1970-01-01 00:04:21.444,red,40199.0
1970-01-01 00:04:21.484,red,40203.0
1970-01-01 00:04:21.500,red,40201.0
1970-01-01 00:04:21.521,red,40188.0
1970-01-01 00:04:21.541,red,40168.0
1970-01-01 00:04:21.572,red,40195.0
1970-01-01 00:04:21.592,red,40185.0
1970-01-01 00:04:21.612,red,40189.0
1970-01-01 00:04:21.632,red,40175.0
1970-01-01 00:04:21.648,red,40183.0
1970-01-01 00:04:21.665,red,40180.0
1970-01-01 00:04:21.681,red,40184.0
1970-01-01 00:04:21.709,red,40184.0
1970-01-01 00:04:21.729,red,40187.0
1970-01-01 00:04:21.749,red,40184.0
1970-01-01 00:04:21.769,red,40182.0
1970-01-01 00:04:21.785,red,40189.0
1970-01-01 00:04:21.801,red,40191.0
1970-01-01 00:04:21.828,red,40177.0
1970-01-01 00:04:21.848,red,40177.0
1970-01-01 00:04:21.860,red,40174.0
1970-01-01 00:04:21.880,red,40187.0
1970-01-01 00:04:21.900,red,40189.0
1970-01-01 00:04:21.933,red,40177.0
1970-01-01 00:04:21.949,red,40181.0
1970-01-01 00:04:21.965,red,40182.0
1970-01-01 00:04:21.988,red,40188.0
1970-01-01 00:04:21.999,red,40186.0
1970-01-01 00:04:22.019,red,40189.0
1970-01-01 00:04:22.039,red,40205.0
1970-01-01 00:04:22.058,red,40202.0
1970-01-01 00:04:22.109,red,40203.0
1970-01-01 00:04:22.125,red,40204.0
1970-01-01 00:04:22.167,red,40203.0
1970-01-01 00:04:22.211,red,40206.0
1970-01-01 00:04:22.227,red,40204.0
1970-01-01 00:04:22.549,red,40183.0
1970-01-01 00:04:22.710,red,40188.0
1970-01-01 00:04:22.974,red,40200.0
1970-01-01 00:04:22.992,red,40204.0
1970-01-01 00:04:23.009,red,40206.0
1970-01-01 00:04:23.064,red,40199.0
1970-01-01 00:04:23.084,red,40200.0
1970-01-01 00:04:23.125,red,40194.0
1970-01-01 00:04:23.161,red,40201.0
1970-01-01 00:04:23.182,red,40207.0
1970-01-01 00:04:23.227,red,40202.0
1970-01-01 00:04:23.247,red,40194.0
1970-01-01 00:04:23.267,red,40197.0
1970-01-01 00:04:23.286,red,40195.0
1970-01-01 00:04:23.303,red,40195.0
1970-01-01 00:04:23.321,red,40187.0
1970-01-01 00:04:23.346,red,40192.0
1970-01-01 00:04:23.378,red,40201.0
1970-01-01 00:04:23.398,red,40204.0
1970-01-01 00:04:23.418,red,40193.0
1970-01-01 00:04:23.434,red,40195.0
1970-01-01 00:04:23.451,red,40080.0
1970-01-01 00:04:23.469,red,40188.0
1970-01-01 00:04:23.490,red,40197.0
1970-01-01 00:04:23.510,red,40197.0
1970-01-01 00:04:23.520,red,40187.0
1970-01-01 00:04:23.540,red,40202.0
1970-01-01 00:04:23.560,red,40188.0
1970-01-01 00:04:23.594,red,40189.0
1970-01-01 00:04:23.620,red,40186.0
1970-01-01 00:04:23.624,red,40178.0
1970-01-01 00:04:23.644,red,40182.0
1970-01-01 00:04:23.673,red,40192.0
1970-01-01 00:04:23.693,red,40201.0
1970-01-01 00:04:23.713,red,40186.0
1970-01-01 00:04:23.734,red,40186.0
1970-01-01 00:04:23.752,red,40186.0
1970-01-01 00:04:23.770,red,40188.0
1970-01-01 00:04:23.782,red,40188.0
1970-01-01 00:04:23.802,red,40185.0
1970-01-01 00:04:23.840,red,40179.0
1970-01-01 00:04:23.860,red,40183.0
1970-01-01 00:04:23.878,red,40172.0
1970-01-01 00:04:23.895,red,40172.0
1970-01-01 00:04:23.914,red,40152.0
1970-01-01 00:04:23.932,red,40175.0
1970-01-01 00:04:23.942,red,40167.0
1970-01-01 00:04:23.962,red,40177.0
1970-01-01 00:04:23.982,red,40182.0
1970-01-01 00:04:24.002,red,40187.0
1970-01-01 00:04:24.028,red,40177.0
1970-01-01 00:04:24.045,red,40173.0
1970-01-01 00:04:24.062,red,40163.0
1970-01-01 00:04:24.095,red,40172.0
1970-01-01 00:04:24.111,red,40176.0
1970-01-01 00:04:24.131,red,40180.0
1970-01-01 00:04:24.151,red,40179.0
1970-01-01 00:04:24.168,red,40175.0
1970-01-01 00:04:24.184,red,40173.0
1970-01-01 00:04:24.215,red,40187.0
1970-01-01 00:04:24.231,red,40178.0
1970-01-01 00:04:24.252,red,40174.0
1970-01-01 00:04:24.272,red,40172.0
1970-01-01 00:04:24.285,red,40177.0
1970-01-01 00:04:24.325,red,40184.0
1970-01-01 00:04:24.343,red,40184.0
1970-01-01 00:04:24.362,red,40183.0
1970-01-01 00:04:24.386,red,40180.0
1970-01-01 00:04:24.406,red,40159.0
1970-01-01 00:04:24.426,red,40182.0
1970-01-01 00:04:24.446,red,40176.0
1970-01-01 00:04:24.472,red,40175.0
1970-01-01 00:04:24.490,red,40184.0
1970-01-01 00:04:24.506,red,40178.0
1970-01-01 00:04:24.522,red,40188.0
1970-01-01 00:04:24.542,red,40188.0
1970-01-01 00:04:24.570,red,40185.0
1970-01-01 00:04:24.592,red,40179.0
1970-01-01 00:04:24.612,red,40178.0
1970-01-01 00:04:24.621,red,40172.0
1970-01-01 00:04:24.641,red,40178.0
1970-01-01 00:04:24.672,red,40170.0
1970-01-01 00:04:24.688,red,40175.0
1970-01-01 00:04:24.713,red,40182.0
1970-01-01 00:04:24.733,red,40173.0
1970-01-01 00:04:24.755,red,40184.0
1970-01-01 00:04:24.775,red,40175.0
1970-01-01 00:04:24.792,red,40175.0
1970-01-01 00:04:24.807,red,40176.0
1970-01-01 00:04:24.823,red,40184.0
1970-01-01 00:04:24.843,red,40170.0
1970-01-01 00:04:24.843,red,40170.0
1970-01-01 00:04:24.863,red,40186.0
1970-01-01 00:04:24.863,red,40186.0
1970-01-01 00:04:24.883,red,40179.0
1970-01-01 00:04:24.883,red,40179.0
1970-01-01 00:04:24.908,red,40173.0
1970-01-01 00:04:24.924,red,40169.0
1970-01-01 00:04:24.955,red,40179.0
1970-01-01 00:04:24.971,red,40187.0
1970-01-01 00:04:24.980,red,40177.0
1970-01-01 00:04:25.000,red,40169.0
1970-01-01 00:04:25.022,red,40168.0
1970-01-01 00:04:25.042,red,40179.0
1970-01-01 00:04:25.062,red,40190.0
1970-01-01 00:04:25.097,red,40186.0
1970-01-01 00:04:25.113,red,40188.0
1970-01-01 00:04:25.129,red,40181.0
1970-01-01 00:04:25.143,red,40179.0
1970-01-01 00:04:25.163,red,40181.0
1970-01-01 00:04:25.183,red,40165.0
1970-01-01 00:04:25.217,red,40172.0
1970-01-01 00:04:25.233,red,40178.0
1970-01-01 00:04:25.249,red,40165.0
1970-01-01 00:04:25.265,red,40161.0
1970-01-01 00:04:25.285,red,40167.0
1970-01-01 00:04:25.312,red,40166.0
1970-01-01 00:04:25.339,red,40164.0
1970-01-01 00:04:25.352,red,40159.0
1970-01-01 00:04:25.372,red,40173.0
1970-01-01 00:04:25.395,red,40156.0
1970-01-01 00:04:25.411,red,40157.0
1970-01-01 00:04:25.429,red,40140.0
1970-01-01 00:04:25.455,red,40155.0
1970-01-01 00:04:25.475,red,40149.0
1970-01-01 00:04:25.495,red,40156.0
1970-01-01 00:04:25.515,red,40147.0
1970-01-01 00:04:25.531,red,40151.0
1970-01-01 00:04:25.547,red,40140.0
1970-01-01 00:04:25.563,red,40156.0
1970-01-01 00:04:25.587,red,40150.0
1970-01-01 00:04:25.607,red,40161.0
1970-01-01 00:04:25.642,red,40144.0
1970-01-01 00:04:25.662,red,40148.0
1970-01-01 00:04:25.670,red,40147.0
1970-01-01 00:04:25.690,red,40160.0
1970-01-01 00:04:25.706,red,40161.0
1970-01-01 00:04:25.722,red,40155.0
1970-01-01 00:04:25.753,red,40152.0
1970-01-01 00:04:25.773,red,40142.0
1970-01-01 00:04:25.790,red,40143.0
1970-01-01 00:04:25.810,red,40141.0
1970-01-01 00:04:25.827,red,40132.0
1970-01-01 00:04:25.843,red,40136.0
