Column,ADF Statistic,ADF p-value,KPSS Statistic,KPSS p-value,Stationary,Differencing Required
red,-0.982644637759665,0.7595415245349939,4.272656732171617,0.01,Non-Stationary,1
ir,-1.5909135354020116,0.48815633644700446,8.230522166998647,0.01,Non-Stationary,1
red_corrected,-2.544890543924178,0.10493039833755974,0.925961101450897,0.01,Non-Stationary,1
ir_corrected,-3.6294294599530312,0.005222693244950824,0.49497875060372193,0.04279757869285543,Non-Stationary,1
